dam_name,company_name,latitude,longitude,state,city,risk_category,potential_damage
A0 (Mina Barreiro),Vale Fertilizantes S A,-19.617,-47.033,MG,Araxá,BAIXO,ALTO
Alemães,GERDAU AÇOMINAS S.A.,-20.422,-43.75,MG,Ouro Preto,BAIXO,ALTO
B1,Itaminas Comércio de Minérios S.a.,-20.064,-44.114,MG,Sarzedo,BAIXO,ALTO
B1/B4 (Mina Barreiro),Vale Fertilizantes S A,-19.634,-46.997,MG,Araxá,BAIXO,ALTO
B2,Itaminas Comércio de Minérios S.a.,-20.081,-44.111999999999995,MG,Sarzedo,BAIXO,ALTO
B2 (Mina Barreiro),Vale Fertilizantes S A,-19.644000000000002,-46.974,MG,Araxá,BAIXO,MÉDIO
B4,Itaminas Comércio de Minérios S.a.,-20.093,-44.093,MG,Sarzedo,BAIXO,ALTO
B5,VERMELHÃO MINERAÇÃO IND. E COM. LTDA,-20.402,-43.534,MG,Ouro Preto,MÉDIO,ALTO
B5 (Mina Barreiro),Vale Fertilizantes S A,-19.617,-47.022,MG,Araxá,BAIXO,ALTO
Bacia Lavador de Rodas,GERDAU AÇOMINAS S.A.,-20.293,-43.938,MG,Itabirito,MÉDIO,MÉDIO
Baia da UTM I,GERDAU AÇOMINAS S.A.,-20.436,-43.776,MG,Ouro Preto,MÉDIO,ALTO
Baias da UTM II,GERDAU AÇOMINAS S.A.,-20.455,-43.777,MG,Ouro Preto,BAIXO,MÉDIO
Barragem 01 - Jose Jaime,MINERITA - MINÉRIOS ITAÚNA LTDA.,-20.136,-44.38399999999999,MG,Itatiaiuçu,BAIXO,ALTO
Barragem 02 - Canindé,MINERITA - MINÉRIOS ITAÚNA LTDA.,-20.139,-44.38,MG,Itatiaiuçu,BAIXO,ALTO
Barragem 03,Companhia Siderúrgica Nacional SA,-20.319000000000003,-44.589,MG,Arcos,BAIXO,MÉDIO
Barragem 03 - Zé da Grota,MINERITA - MINÉRIOS ITAÚNA LTDA.,-20.137999999999998,-44.388000000000005,MG,Itatiaiuçu,BAIXO,ALTO
Barragem 1,Votorantim Metais Zinco S.A.,-17.498,-46.818000000000005,MG,Paracatu,BAIXO,ALTO
Barragem 2,Votorantim Metais Zinco S.A.,-17.511,-46.828,MG,Paracatu,BAIXO,ALTO
Barragem 3,Votorantim Metais Zinco S.A.,-17.514,-46.82899999999999,MG,Paracatu,BAIXO,ALTO
BARRAGEM 5,Vale S A,-19.977,-43.893,MG,Nova Lima,BAIXO,ALTO
BARRAGEM 5 (Mutuca),Vale S A,-20.026,-43.942,MG,Nova Lima,BAIXO,ALTO
BARRAGEM 7,Ferrous Resources do Brasil Sa,-20.561999999999998,-43.951,MG,Congonhas,BAIXO,ALTO
BARRAGEM 7B,Vale S A,-19.967,-43.883,MG,Nova Lima,BAIXO,ALTO
BARRAGEM 8B,Vale S A,-19.959,-43.873000000000005,MG,Nova Lima,BAIXO,ALTO
Barragem A,KINROSS BRASIL MINERAÇÃO S. A.,-17.169,-46.891000000000005,MG,Paracatu,BAIXO,ALTO
BARRAGEM A (UPM),Vale Fertilizantes S A,-18.379,-46.926,MG,Patos De Minas,BAIXO,MÉDIO
Barragem Água fria - rejeito,Topazio Imperial Mineração Comercio e Industria Ltda,-20.43,-43.611000000000004,MG,Ouro Preto,ALTO,ALTO
BARRAGEM ALCINDO VIEIRA (CAUÊ),Vale S A,-19.574,-43.246,MG,Itabira,BAIXO,MÉDIO
BARRAGEM ALTO JACUTINGA,Vale S A,-20.426,-43.886,MG,Congonhas,BAIXO,MÉDIO
Barragem Aroeira,VOTORANTIM METAIS ZINCO S/A,-17.972,-46.81399999999999,MG,Vazante,BAIXO,ALTO
BARRAGEM AUXILIAR DO VIGIA,Nacional Minerios S/A,-20.434,-43.835,MG,Ouro Preto,BAIXO,ALTO
BARRAGEM B,Vale Fertilizantes S A,-18.381,-46.927,MG,Patos De Minas,BAIXO,MÉDIO
BARRAGEM B 03,Vale S A,-19.878,-43.378,MG,São Gonçalo Do Rio Abaixo,BAIXO,ALTO
Barragem B1,Herculano Mineração Ltda.,-20.253,-43.931999999999995,MG,Itabirito,ALTO,MÉDIO
Barragem B1,Mineração Geral do Brasil Ltda.,-20.065,-44.028999999999996,MG,Brumadinho,BAIXO,MÉDIO
Barragem B-1,Nacional de Grafite Ltda,-20.444000000000003,-45.133,MG,Itapecerica,BAIXO,MÉDIO
BARRAGEM B1 - MANGABEIRAS,IMA - INDÚSTRIA DE MADEIRA IMUNIZADA LTDA.,-19.962,-43.927,MG,Belo Horizonte,BAIXO,ALTO
Barragem B1 Auxiliar Tico Tico,Mmx Sudeste Mineração S.a.,-20.102999999999998,-44.288000000000004,MG,Igarapé,BAIXO,ALTO
Barragem B1 Ipê,Mmx Sudeste Mineração S.a.,-20.117,-44.306999999999995,MG,Brumadinho,BAIXO,ALTO
Barragem B1 Tico Tico,Mmx Sudeste Mineração S.a.,-20.102,-44.288999999999994,MG,Igarapé,BAIXO,ALTO
Barragem B1A Ipê,EMICOM Mmx Sudeste Mineração S.a.,-20.123,-44.312,MG,Brumadinho,BAIXO,ALTO
Barragem B2,Herculano Mineração Ltda.,-20.250999999999998,-43.93600000000001,MG,Itabirito,BAIXO,MÉDIO
Barragem B2,Mineração Geral do Brasil Ltda.,-20.066,-44.027,MG,Brumadinho,BAIXO,MÉDIO
BARRAGEM B2,Nacional Minerios S/A,-20.160999999999998,-43.847,MG,Rio Acima,BAIXO,ALTO
Barragem B-2,Nacional de Grafite Ltda,-20.441,-45.129,MG,Itapecerica,MÉDIO,ALTO
BARRAGEM B2 AUXILIAR,Nacional Minerios S/A,-20.163,-43.849,MG,Rio Acima,BAIXO,ALTO
Barragem B2 Tico Tico,Mmx Sudeste Mineração S.a.,-20.11,-44.287,MG,Igarapé,BAIXO,MÉDIO
Barragem B3,Herculano Mineração Ltda.,-20.252,-43.938,MG,Itabirito,BAIXO,MÉDIO
BARRAGEM B3 - DIQUE AUXILIAR MANGABEIRAS,IMA - INDÚSTRIA DE MADEIRA IMUNIZADA LTDA.,-19.964000000000002,-43.928999999999995,MG,Belo Horizonte,BAIXO,ALTO
BARRAGEM B3-B4,MINERACOES BRASILEIRAS REUNIDAS SA,-20.047,-43.95399999999999,MG,Nova Lima,BAIXO,ALTO
BARRAGEM B4,Companhia Siderúrgica Nacional SA,-20.486,-43.886,MG,Congonhas,BAIXO,ALTO
Barragem B4,Herculano Mineração Ltda.,-20.259,-43.927,MG,Itabirito,BAIXO,ALTO
Barragem B-4,Nacional de Grafite Ltda,-20.438,-45.148,MG,Itapecerica,BAIXO,ALTO
BARRAGEM B5,Companhia Siderúrgica Nacional SA,-20.49,-43.891000000000005,MG,Congonhas,BAIXO,ALTO
BARRAGEM B6,MINERACOES BRASILEIRAS REUNIDAS SA,-20.058,-43.964,MG,Nova Lima,BAIXO,ALTO
BARRAGEM B7,MINERACOES BRASILEIRAS REUNIDAS SA,-20.039,-43.928999999999995,MG,Nova Lima,BAIXO,ALTO
BARRAGEM BAIXO JOÃO PEREIRA,Vale S A,-20.44,-43.905,MG,Congonhas,BAIXO,MÉDIO
BARRAGEM BARNABÉ,Vale S A,-20.426,-43.891999999999996,MG,Congonhas,BAIXO,MÉDIO
Barragem BD-2 (CMT),Vale Fertilizantes S A,-19.837,-46.836999999999996,MG,Tapira,BAIXO,BAIXO
Barragem BD-5 (CMT),Vale Fertilizantes S A,-19.820999999999998,-46.842,MG,Tapira,BAIXO,ALTO
Barragem BL-1 (CMT),Vale Fertilizantes S A,-19.842,-45.864,MG,Tapira,BAIXO,ALTO
BARRAGEM BOM JARDIM,BAUMINAS MINERAÇÃO LTDA,-21.211,-42.715,MG,Miraí,BAIXO,ALTO
BARRAGEM BORRACHUDO II,Vale S A,-19.613,-43.266999999999996,MG,Itabira,BAIXO,BAIXO
Barragem BR (CMT),Vale Fertilizantes S A,-19.838,-46.833,MG,Tapira,BAIXO,ALTO
Barragem BRI (CMT),Vale Fertilizantes S A,-19.789,-46.879,MG,Tapira,BAIXO,ALTO
BARRAGEM CAMBUCAL I (MINAS DO MEIO),Vale S A,-19.641,-43.24100000000001,MG,Itabira,BAIXO,ALTO
BARRAGEM CAMBUCAL II (Minas do Meio),Vale S A,-19.646,-43.242,MG,Itabira,BAIXO,ALTO
BARRAGEM CAMPO GRANDE,Vale S A,-20.176,-43.486999999999995,MG,Mariana,BAIXO,ALTO
BARRAGEM CAPÃO DA SERRA,Vale S A,-20.067,-43.931000000000004,MG,Nova Lima,BAIXO,ALTO
BARRAGEM CAPIM BRANCO (Inativa),MINERACOES BRASILEIRAS REUNIDAS SA,-20.108,-44.074,MG,Brumadinho,BAIXO,ALTO
Barragem Captação 1,Topazio Imperial Mineração Comercio e Industria Ltda,-20.430999999999997,-43.614,MG,Ouro Preto,ALTO,ALTO
Barragem Captação 2,Topazio Imperial Mineração Comercio e Industria Ltda,-20.429000000000002,-43.611999999999995,MG,Ouro Preto,ALTO,ALTO
BARRAGEM CASA DE PEDRA,Companhia Siderúrgica Nacional SA,-20.506,-43.883,MG,Congonhas,BAIXO,ALTO
BARRAGEM CEMIG I,Vale S A,-19.576,-43.205,MG,Itabira,BAIXO,ALTO
BARRAGEM CEMIG II,Vale S A,-19.572,-43.196999999999996,MG,Itabira,BAIXO,ALTO
Barragem Central,Mineração Usiminas S.a.,-20.148,-44.406000000000006,MG,Itatiaiuçu,BAIXO,ALTO
Barragem Central,SAFM MINERAÇÃO LTDA,-20.272000000000002,-43.895,MG,Itabirito,BAIXO,BAIXO
BARRAGEM CIANITA I,Vale S A,-20.195999999999998,-43.867,MG,Nova Lima,BAIXO,MÉDIO
BARRAGEM CONCEIÇÃO,Vale S A,-19.648,-43.273999999999994,MG,Itabira,BAIXO,ALTO
Barragem da Mina II,COMPANHIA MINERADORA DO PIROCLORO DE ARAXÁ,-19.657,-46.94,MG,Araxá,BAIXO,BAIXO
Barragem da Voçoroca,Go4 Participações e Emprrendimentos S.a.,-19.561,-42.728,MG,Antônio Dias,BAIXO,MÉDIO
BARRAGEM DE CONTENÇÃO DIQUE D-03,SICAL INDUSTRIAL LTDA,-20.025,-44.013000000000005,MG,Belo Horizonte,BAIXO,BAIXO
Barragem de Rejeitos,Anglo American Minério de Ferro Brasil S.a,-18.863,-43.408,MG,Conceição Do Mato Dentro,BAIXO,ALTO
Barragem de Rejeitos,ARCELORMITTAL MINERAÇÃO SERRA AZUL S.A.,-20.137999999999998,-44.394,MG,Itatiaiuçu,BAIXO,ALTO
BARRAGEM DE REJEITOS,Votorantim Metais Zinco S A,-20.893,-46.705,MG,Fortaleza De Minas,BAIXO,ALTO
Barragem de Rejeitos- MRDM,Mineração Riacho dos Machados Ltda.,-16.055999999999997,-43.129,MG,Riacho Dos Machados,BAIXO,ALTO
BARRAGEM DICÃO,Vale S A,-19.874000000000002,-43.379,MG,São Gonçalo Do Rio Abaixo,BAIXO,ALTO
BARRAGEM DICÃO LESTE,Vale S A,-20.139,-43.413000000000004,MG,Catas Altas,BAIXO,MÉDIO
BARRAGEM DO DIOGO,Vale S A,-19.93,-43.196000000000005,MG,Rio Piracicaba,BAIXO,ALTO
BARRAGEM DO DOUTOR,Vale S A,-20.291,-43.49100000000001,MG,Ouro Preto,BAIXO,ALTO
BARRAGEM DO ELEFANTE,Vale S A,-19.932000000000002,-43.208999999999996,MG,Rio Piracicaba,BAIXO,BAIXO
BARRAGEM DO GRUPO (Inativa),Vale S A,-20.415,-43.865,MG,Ouro Preto,BAIXO,BAIXO
Barragem do Josino,FERRO + MINERAÇÃO S/A,-20.425,-43.86600000000001,MG,Ouro Preto,BAIXO,MÉDIO
BARRAGEM DO VIGIA,Nacional Minerios S/A,-20.438,-43.833,MG,Ouro Preto,BAIXO,ALTO
BARRAGEM ECOLÓGICA 1,Nacional Minerios S/A,-20.158,-43.847,MG,Rio Acima,BAIXO,ALTO
Barragem Eustáquio,KINROSS BRASIL MINERAÇÃO S. A.,-18.146,-46.901,MG,Paracatu,BAIXO,ALTO
BARRAGEM FORQUILHA I,Vale S A,-20.406,-43.856,MG,Ouro Preto,BAIXO,MÉDIO
BARRAGEM FORQUILHA II,Vale S A,-20.408,-43.852,MG,Ouro Preto,BAIXO,MÉDIO
BARRAGEM FORQUILHA III,Vale S A,-20.410999999999998,-43.836000000000006,MG,Ouro Preto,BAIXO,ALTO
BARRAGEM FORQUILHA IV,Vale S A,-20.395,-43.852,MG,Ouro Preto,BAIXO,MÉDIO
BARRAGEM GALEGO,Vale S A,-19.857,-43.803999999999995,MG,Sabará,BAIXO,ALTO
BARRAGEM GAMBÁ,Vale S A,-20.430999999999997,-43.883,MG,Congonhas,BAIXO,MÉDIO
Barragem Germano,Samarco Mineração S.a.,-20.215999999999998,-43.467,MG,Mariana,ALTO,ALTO
BARRAGEM I (Córrego Feijão),Vale S A,-20.119,-44.12,MG,Brumadinho,BAIXO,ALTO
Barragem II Mina Engenho,Mundo Mineração Ltda.,-20.063,-43.795,MG,Rio Acima,ALTO,ALTO
BARRAGEM ITABIRUÇU (Conceição),Vale S A,-19.685,-43.286,MG,Itabira,BAIXO,ALTO
BARRAGEM IV (Córrego do Feijão),Vale S A,-20.137,-44.12,MG,Brumadinho,BAIXO,ALTO
BARRAGEM IV-A (Córrego do Feijão),Vale S A,-20.139,-44.123000000000005,MG,Brumadinho,BAIXO,ALTO
BARRAGEM JIRAU (CAUÊ),Vale S A,-19.57,-43.231,MG,Itabira,BAIXO,MÉDIO
BARRAGEM LAGOA DO IPÊ (BARRAGEM DE ÁGUA),VALE MANGANÊS S.A.,-20.639,-43.773999999999994,MG,Conselheiro Lafaiete,BAIXO,MÉDIO
BARRAGEM LARANJEIRAS,Vale S A,-19.848,-43.422,MG,Barão De Cocais,BAIXO,ALTO
BARRAGEM MARAVILHAS I,Vale S A,-20.225,-43.873000000000005,MG,Itabirito,BAIXO,ALTO
BARRAGEM MARAVILHAS II,Vale S A,-20.214000000000002,-43.891999999999996,MG,Itabirito,BAIXO,ALTO
BARRAGEM MARÉS I,Vale S A,-20.425,-43.928000000000004,MG,Belo Vale,BAIXO,BAIXO
BARRAGEM MARÉS II,Vale S A,-20.434,-43.931000000000004,MG,Belo Vale,BAIXO,ALTO
BARRAGEM MENEZES II (Córrego do Feijão),Vale S A,-20.128,-44.138000000000005,MG,Brumadinho,BAIXO,ALTO
BARRAGEM MERCES,BAUMINAS MINERAÇÃO LTDA,-21.131,-43.349,MG,Mercês,BAIXO,BAIXO
Barragem Mina Engenho,Mundo Mineração Ltda.,-20.062,-43.794,MG,Rio Acima,ALTO,ALTO
Barragem Mina Oeste (Somisa),Mineração Usiminas S.a.,-20.167,-44.46,MG,Itatiaiuçu,MÉDIO,ALTO
BARRAGEM MONJOLO,Vale S A,-19.963,-43.238,MG,Rio Piracicaba,BAIXO,ALTO
BARRAGEM MOSQUITO,Vale S A,-20.105999999999998,-43.403999999999996,MG,Catas Altas,BAIXO,ALTO
BARRAGEM NATIVIDADE (TIMBOPEBA),Vale S A,-20.28,-43.485,MG,Ouro Preto,BAIXO,ALTO
Barragem Paciência,Mineração Serras do Oeste Ltda,-20.209,-43.68600000000001,MG,Itabirito,BAIXO,ALTO
BARRAGEM PÉ DE SERRA,Vale S A,-19.889,-43.19,MG,Rio Piracicaba,BAIXO,BAIXO
BARRAGEM PENEIRINHA,Vale S A,-20.111,-43.964,MG,Nova Lima,BAIXO,ALTO
BARRAGEM PIABAS (CAUÊ),Vale S A,-19.563,-43.206,MG,Itabira,BAIXO,ALTO
BARRAGEM PONTAL (Mina Cauê),Vale S A,-19.625,-43.183,MG,Itabira,BAIXO,ALTO
BARRAGEM PORTEIRINHA,Vale S A,-19.959,-43.239,MG,Rio Piracicaba,BAIXO,ALTO
BARRAGEM PRINCIPAL,Vale S A,-20.173,-43.615,MG,Santa Bárbara,BAIXO,MÉDIO
BARRAGEM RIO DO PEIXE (Conceição),Vale S A,-19.674,-43.236000000000004,MG,Itabira,BAIXO,ALTO
Barragem Samambaia 0 (zero),Mineração Usiminas S.a.,-20.167,-44.435,MG,Itatiaiuçu,BAIXO,ALTO
BARRAGEM SANTANA (CAUÊ),Vale S A,-19.555,-43.161,MG,Itabira,BAIXO,ALTO
Barragem Santarém,Samarco Mineração S.a.,-20.23,-43.442,MG,Mariana,ALTO,ALTO
Barragem Santo Antônio,KINROSS BRASIL MINERAÇÃO S. A.,-17.147000000000002,-45.854,MG,Paracatu,BAIXO,ALTO
BARRAGEM SUL (CÓRREGO DO CANAL),Vale S A,-19.884,-43.386,MG,São Gonçalo Do Rio Abaixo,BAIXO,ALTO
BARRAGEM SUL INFERIOR,Vale S A,-19.976,-43.601000000000006,MG,Barão De Cocais,BAIXO,ALTO
BARRAGEM SUL SUPERIOR,Vale S A,-19.97,-43.597,MG,Barão De Cocais,BAIXO,ALTO
BARRAGEM TAQUARAS,MINERACOES BRASILEIRAS REUNIDAS SA,-20.039,-43.928999999999995,MG,Nova Lima,BAIXO,ALTO
BARRAGEM TIMBOPEBA,Vale S A,-20.272000000000002,-43.497,MG,Ouro Preto,BAIXO,ALTO
BARRAGEM VARGEM GRANDE,Vale S A,-20.182000000000002,-43.867,MG,Nova Lima,BAIXO,ALTO
BARRAGEM VI (Córrego do Feijão),Vale S A,-20.119,-44.123999999999995,MG,Brumadinho,BAIXO,ALTO
BARRAGEM VII (Córrego do Feijão),Vale S A,-20.104,-44.119,MG,Brumadinho,BAIXO,MÉDIO
Bocaina,GERDAU AÇOMINAS S.A.,-20.442,-43.792,MG,Ouro Preto,BAIXO,ALTO
Cachoeirinha,Vallourec Mineração Ltda.,-20.152,-43.965,MG,Nova Lima,BAIXO,ALTO
Calcinados,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-19.974,-43.82899999999999,MG,Nova Lima,BAIXO,ALTO
Califórnia,Nacional de Grafite Ltda,-16.207,-39.946999999999996,MG,Salto Da Divisa,BAIXO,ALTO
CAVA B,GALVANI INDUSTRIA COMERCIO E SERVIÇOS S.A.,-18.28,-46.861999999999995,MG,Lagamar,BAIXO,ALTO
CAVA C,GALVANI INDUSTRIA COMERCIO E SERVIÇOS S.A.,-18.255,-46.842,MG,Lagamar,BAIXO,BAIXO
Cava do Germano,Samarco Mineração S.a.,-20.199,-43.496,MG,Mariana,BAIXO,ALTO
Clarificação Bocaina,GERDAU AÇOMINAS S.A.,-20.441,-43.788999999999994,MG,Ouro Preto,BAIXO,ALTO
Cocoruto,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-19.974,-43.82899999999999,MG,Nova Lima,BAIXO,ALTO
Contenção de Rejeitos de CDS II,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-19.985,-43.471000000000004,MG,Santa Bárbara,BAIXO,ALTO
Contenção de Rejeitos de Cuiabá,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-19.866,-43.727,MG,Sabará,BAIXO,ALTO
Dique 01,COMPANHIA DE MINERAÇÃO SERRA AZUL - COMISA,-20.119,-44.32,MG,Brumadinho,BAIXO,MÉDIO
Dique 01,EMPABRA - EMPRESA DE MINERAÇÃO PAU BRANCO LTDA.,-19.986,-43.885,MG,Belo Horizonte,MÉDIO,ALTO
Dique 02,COMPANHIA DE MINERAÇÃO SERRA AZUL - COMISA,-20.121,-44.321999999999996,MG,Brumadinho,BAIXO,MÉDIO
Dique 02,EMPABRA - EMPRESA DE MINERAÇÃO PAU BRANCO LTDA.,-19.934,-43.883,MG,Belo Horizonte,ALTO,ALTO
DIQUE 02 PDE 02,Vale S A,-19.855999999999998,-43.799,MG,Sabará,BAIXO,BAIXO
DIQUE 02 PONTAL,Vale S A,-19.613,-43.191,MG,Itabira,BAIXO,ALTO
Dique 03,COMPANHIA DE MINERAÇÃO SERRA AZUL - COMISA,-20.122,-44.318999999999996,MG,Brumadinho,BAIXO,ALTO
DIQUE 03 PONTAL,Vale S A,-19.608,-43.184,MG,Itabira,BAIXO,ALTO
DIQUE 04 PONTAL (ou Dique 4 braço) CAUÊ,Vale S A,-19.607,-43.176,MG,Itabira,BAIXO,ALTO
DIQUE 05 PONTAL,Vale S A,-19.605,-43.173,MG,Itabira,BAIXO,ALTO
DIQUE 06 PONTAL (CAUÊ),Vale S A,-19.613,-43.174,MG,Itabira,BAIXO,ALTO
DIQUE 105 I (Minas do Meio),Vale S A,-19.627,-43.238,MG,Itabira,BAIXO,ALTO
Dique 1A Conceição,Vale S A,-19.644000000000002,-43.282,MG,Itabira,BAIXO,BAIXO
DIQUE 1B CONCEIÇÃO,Vale S A,-19.639,-43.282,MG,Itabira,BAIXO,BAIXO
DIQUE B,Vale S A,-20.124000000000002,-43.925,MG,Nova Lima,BAIXO,ALTO
Dique B3 Ipê,EMICOM Mmx Sudeste Mineração S.a.,-20.119,-44.316,MG,Brumadinho,ALTO,MÉDIO
Dique B4 Ipê,EMICOM Mmx Sudeste Mineração S.a.,-20.117,-44.317,MG,Brumadinho,ALTO,MÉDIO
Dique Conquistinha,Mmx Sudeste Mineração S.a.,-20.116,-44.298,MG,Brumadinho,ALTO,ALTO
DIQUE CORDÃO NOVA VISTA (CAUÊ),Vale S A,-19.617,-43.203,MG,Itabira,BAIXO,ALTO
Dique Corte Azul,Vale S A,-20.418,-43.9,MG,Ouro Preto,BAIXO,BAIXO
Dique Couves [MBL],Mineração Usiminas S.a.,-20.152,-44.446000000000005,MG,Itatiaiuçu,BAIXO,MÉDIO
DIQUE D,BRASMIC MINERAÇÃO AREIA E BRITA LTDA.,-19.986,-44.122,MG,Betim,BAIXO,ALTO
DIQUE DA PDE 03,Vale S A,-19.864,-43.356,MG,São Gonçalo Do Rio Abaixo,BAIXO,BAIXO
DIQUE DA PDE LAGOA SECA,Vale S A,-20.349,-43.413000000000004,MG,Mariana,BAIXO,MÉDIO
DIQUE DA PERA,Vale S A,-20.347,-43.431000000000004,MG,Mariana,BAIXO,ALTO
DIQUE DA PILHA DA VILA II,Companhia Siderúrgica Nacional SA,-20.452,-43.9,MG,Congonhas,BAIXO,MÉDIO
Dique de Contenção de Sedimentos 01,Anglo American Minério de Ferro Brasil S.a,-18.899,-43.408,MG,Conceição Do Mato Dentro,BAIXO,MÉDIO
Dique de Contenção de Sedimentos 02,Anglo American Minério de Ferro Brasil S.a,-18.89,-43.405,MG,Conceição Do Mato Dentro,BAIXO,MÉDIO
DIQUE DO BICHENTO IIIA,Companhia Siderúrgica Nacional SA,-20.485,-43.933,MG,Congonhas,BAIXO,MÉDIO
DIQUE DO ENGENHO,Nacional Minerios S/A,-20.456,-43.894,MG,Ouro Preto,BAIXO,MÉDIO
Dique do Esmeril I,Companhia Siderúrgica Nacional SA,-20.47,-43.93600000000001,MG,Congonhas,BAIXO,BAIXO
DIQUE DO ESMERIL IV,Companhia Siderúrgica Nacional SA,-20.485,-43.955,MG,Congonhas,BAIXO,ALTO
DIQUE FERNANDINHO,Vale S A,-20.183,-43.858999999999995,MG,Nova Lima,MÉDIO,BAIXO
DIQUE II,Vale S A,-20.153,-43.888000000000005,MG,Nova Lima,BAIXO,MÉDIO
DIQUE III,Vale S A,-20.156,-43.887,MG,Nova Lima,BAIXO,MÉDIO
Dique Lisa,Vallourec Mineração Ltda.,-20.15,-43.964,MG,Nova Lima,BAIXO,ALTO
DIQUE MINERVINO (CAUÊ),Vale S A,-19.612000000000002,-43.208,MG,Itabira,BAIXO,ALTO
